Country,Quarter,Gold_Demand_Tonnes,Year,Q,Quarter_Num,Date,QoQ_Growth,YoY_Growth
Australia,Q1'20,0,2020,Q1,1,2020-01-01,NA,NA
Austria,Q1'20,2.8,2020,Q1,1,2020-01-01,NA,NA
Brazil,Q1'20,3.6,2020,Q1,1,2020-01-01,NA,NA
Canada,Q1'20,4.3,2020,Q1,1,2020-01-01,NA,NA
China,Q1'20,106.5,2020,Q1,1,2020-01-01,NA,NA
Egypt,Q1'20,7.8,2020,Q1,1,2020-01-01,NA,NA
France,Q1'20,3.2,2020,Q1,1,2020-01-01,NA,NA
Germany,Q1'20,47.7,2020,Q1,1,2020-01-01,NA,NA
India,Q1'20,101.9,2020,Q1,1,2020-01-01,NA,NA
Indonesia,Q1'20,8,2020,Q1,1,2020-01-01,NA,NA
Islamic Republic of Iran,Q1'20,16.6,2020,Q1,1,2020-01-01,NA,NA
Italy,Q1'20,2,2020,Q1,1,2020-01-01,NA,NA
Japan,Q1'20,-3.5,2020,Q1,1,2020-01-01,NA,NA
"Korea, Republic of",Q1'20,7.9,2020,Q1,1,2020-01-01,NA,NA
Kuwait,Q1'20,4.2,2020,Q1,1,2020-01-01,NA,NA
Malaysia,Q1'20,3.3,2020,Q1,1,2020-01-01,NA,NA
Mexico,Q1'20,3.8,2020,Q1,1,2020-01-01,NA,NA
Pakistan,Q1'20,11.3,2020,Q1,1,2020-01-01,NA,NA
Russian Federation,Q1'20,10.8,2020,Q1,1,2020-01-01,NA,NA
Saudi Arabia,Q1'20,9.4,2020,Q1,1,2020-01-01,NA,NA
Singapore,Q1'20,2.9,2020,Q1,1,2020-01-01,NA,NA
Spain,Q1'20,1.7,2020,Q1,1,2020-01-01,NA,NA
Sri Lanka,Q1'20,1.3,2020,Q1,1,2020-01-01,NA,NA
Switzerland,Q1'20,14,2020,Q1,1,2020-01-01,NA,NA
Thailand,Q1'20,7.5,2020,Q1,1,2020-01-01,NA,NA
Turkiye,Q1'20,31.9,2020,Q1,1,2020-01-01,NA,NA
UAE,Q1'20,11.3,2020,Q1,1,2020-01-01,NA,NA
United Kingdom,Q1'20,6.8,2020,Q1,1,2020-01-01,NA,NA
United States,Q1'20,37.7,2020,Q1,1,2020-01-01,NA,NA
Vietnam,Q1'20,16.8,2020,Q1,1,2020-01-01,NA,NA
Australia,Q2'20,0,2020,Q2,2,2020-04-01,NA,NA
Austria,Q2'20,3.3,2020,Q2,2,2020-04-01,0.1785714285714286,NA
Brazil,Q2'20,4,2020,Q2,2,2020-04-01,0.11111111111111116,NA
Canada,Q2'20,4.1,2020,Q2,2,2020-04-01,-0.04651162790697683,NA
China,Q2'20,137,2020,Q2,2,2020-04-01,0.2863849765258215,NA
